ymd,low,high,tianqi,fengxiang,fengli,aqi,aqiLevel,aqiInfo
2011/3/21,5,8,中雨~小雨,北风,4-5级,,,
2011/3/22,3,9,小雨~多云,北风,4-5级~3-4级,,,
2011/3/23,6,13,晴~多云,东风,3-4级,,,
2011/3/24,5,16,多云,南风~北风,3-4级~4-5级,,,
2011/3/25,5,13,晴~多云,东北风~东南风,3-4级,,,
2011/3/26,7,15,晴~多云,西南风~南风,3-4级,,,
2011/3/27,8,17,晴~多云,南风,3-4级,,,
2011/3/28,9,19,晴~多云,西南风~北风,3-4级~4-5级,,,
2011/3/29,6,14,多云~晴,东北风,4-5级~3-4级,,,
2011/3/30,7,16,晴~多云,南风~东南风,3-4级~4-5级,,,
2011/3/31,9,19,晴~多云,东南风,3-4级,,,
2011/4/1,10,21,多云~阴,东南风~东风,4-5级,,,
2011/4/2,7,16,阴~小雨,东北风,4-5级,,,
2011/4/3,6,9,小雨~阴,东北风,4-5级,,,
2011/4/4,7,14,晴,东北风~东南风,3-4级,,,
2011/4/5,9,16,晴~多云,东北风~东风,3-4级~4-5级,,,
2011/4/6,12,18,多云~小雨,东南风,4-5级,,,
2011/4/7,11,15,小雨~阴,北风,3-4级,,,
2011/4/8,9,19,多云,东风,3-4级,,,
2011/4/9,12,21,多云,东南风,3-4级,,,
2011/4/10,12,23,多云~阴,东南风~东北风,3-4级~4-5级,,,
2011/4/11,9,17,多云,东北风,3-4级,,,
2011/4/12,12,21,晴~多云,东南风~南风,3-4级,,,
2011/4/13,14,21,多云,南风,4-5级,,,
2011/4/14,17,27,多云~阴,南风,3-4级,,,
2011/4/15,13,27,雷阵雨,南风~东北风,3-4级~4-5级,,,
2011/4/16,11,18,阴~多云,东北风,4-5级~3-4级,,,
2011/4/17,13,21,多云~阴,南风,3-4级,,,
2011/4/18,10,20,晴,西北风,4-5级,,,
2011/4/19,10,20,晴,北风~南风,4-5级~3-4级,,,
2011/4/20,14,22,晴~多云,南风,4-5级,,,
2011/4/21,13,20,阵雨~雷阵雨,南风,4-5级,,,
2011/4/22,10,17,阴~多云,北风,4-5级~3-4级,,,
2011/4/23,12,22,晴~多云,西南风~南风,3-4级~4-5级,,,
2011/4/24,14,23,多云~晴,西北风~南风,3-4级~4-5级,,,
2011/4/25,17,27,晴,南风~西南风,4-5级,,,
2011/4/26,16,33,多云~雷阵雨,西南风~北风,4-5级,,,
2011/4/27,11,23,阴~多云,北风,4-5级~3-4级,,,
2011/4/28,14,22,晴~多云,东南风~南风,3-4级~4-5级,,,
2011/4/29,19,27,晴~阴,南风,5-6级,,,
2011/4/30,17,29,雷阵雨,南风~北风,4-5级~3-4级,,,
2011/5/1,14,27,多云,东北风~东风,3-4级,,,
2011/5/2,13,23,多云~雷阵雨,东南风,3-4级~4-5级,,,
2011/5/3,13,18,阵雨~阴,东北风~东南风,3-4级,,,
2011/5/4,14,21,阴~多云,东南风,3-4级,,,
2011/5/5,17,25,多云,东南风,4-5级,,,
2011/5/6,19,28,多云,南风,3-4级,,,
2011/5/7,19,33,多云,南风,3-4级,,,
2011/5/8,22,33,多云,东南风~南风,4-5级,,,
2011/5/9,24,33,多云,南风,4-5级,,,
2011/5/10,19,34,雷阵雨,南风,3-4级,,,
2011/5/11,17,23,阵雨~阴,北风,3-4级,,,
2011/5/12,16,25,阴~多云,西北风,3-4级,,,
2011/5/13,18,28,晴,西风,3-4级,,,
2011/5/14,19,28,多云,西风~南风,3-4级,,,
2011/5/15,19,29,多云~阴,南风,3-4级,,,
2011/5/16,18,29,多云,南风,3-4级,,,
2011/5/17,20,31,晴~多云,南风,3-4级~4-5级,,,
2011/5/18,21,32,多云~晴,南风,5-6级~4-5级,,,
2011/5/19,22,33,晴,南风,4-5级,,,
2011/5/20,22,34,晴~多云,东南风,3-4级,,,
2011/5/21,18,26,阴~阵雨,西北风~东北风,3-4级,,,
2011/5/22,16,20,阵雨~中雨,东北风,4-5级,,,
2011/5/23,16,18,小雨~阴,东北风,4-5级,,,
2011/5/24,16,24,多云,东风,3-4级,,,
2011/5/25,18,24,多云~阴,北风,3-4级,,,
2011/5/26,18,25,多云,西北风~北风,3-4级,,,
2011/5/27,18,26,多云,北风~东北风,3-4级,,,
2011/5/28,18,21,阴~多云,东北风,3-4级~4-5级,,,
2011/5/29,18,27,晴,北风~西北风,4-5级~3-4级,,,
2011/5/30,20,31,多云,南风,4-5级,,,
2011/5/31,21,31,阴~阵雨,南风,3-4级,,,
2011/6/1,20,29,多云,南风,3-4级,,,
2011/6/2,21,32,多云,东南风,3-4级,,,
2011/6/3,21,31,多云~阴,南风~东南风,3-4级,,,
2011/6/4,20,24,中到大雨,东南风~南风,3-4级,,,
2011/6/5,20,24,小雨,东北风~东风,4-5级~3-4级,,,
2011/6/6,19,21,中雨,东风,3-4级,,,
2011/6/7,20,26,小雨~多云,东风~东南风,3-4级,,,
2011/6/8,23,31,多云,南风,3-4级~4-5级,,,
2011/6/9,23,36,多云~雷阵雨,南风,3-4级,,,
2011/6/10,22,27,大雨,西南风,3-4级,,,
2011/6/11,21,24,中雨~大雨,东北风,3-4级,,,
2011/6/12,21,27,阴~多云,东北风~东南风,3-4级,,,
2011/6/13,21,28,阵雨,东风,3-4级,,,
2011/6/14,20,24,阵雨~大雨,东风~东南风,3-4级~4-5级,,,
2011/6/15,19,21,大到暴雨~小到中雨,东风~东北风,4-5级,,,
2011/6/16,20,25,阴~阵雨,北风~东风,3-4级,,,
2011/6/17,21,24,中雨,东南风~东风,3-4级,,,
2011/6/18,21,25,大到暴雨,东北风,3-4级,,,
2011/6/19,20,23,小到中雨~阴,东风~东北风,4-5级~3-4级,,,
2011/6/20,22,28,多云~阵雨,东风~东南风,3-4级,,,
2011/6/21,23,26,雷阵雨~阵雨,东南风~南风,4-5级,,,
2011/6/22,25,32,雷阵雨,东南风,4-5级,,,
2011/6/23,24,33,多云~阴,南风~西南风,4-5级,,,
2011/6/24,25,34,雷阵雨,南风,3-4级,,,
2011/6/25,23,30,大到暴雨,北风~西北风,5-6级~6-7级,,,
2011/6/26,23,29,阴~多云,西风~西南风,6-7级~4-5级,,,
2011/6/27,24,32,多云~阴,西南风~南风,4-5级~3-4级,,,
2011/6/28,25,33,多云,东南风,4-5级,,,
2011/6/29,26,32,雷阵雨~阵雨,南风,4-5级,,,
2011/6/30,26,32,雷阵雨~多云,南风,4-5级~3-4级,,,
2011/7/1,26,33,阵雨~多云,南风,3-4级,,,
2011/7/2,28,36,雷阵雨~多云,西南风,3-4级,,,
2011/7/3,29,37,多云,西南风,3-4级,,,
2011/7/4,27,36,雷阵雨,西风~东风,3-4级,,,
2011/7/5,27,31,雷阵雨~阵雨,东南风~南风,3-4级,,,
2011/7/6,29,36,多云,西南风,3-4级,,,
2011/7/7,27,37,多云,西南风,3-4级,,,
2011/7/8,26,33,雷阵雨,南风,3-4级,,,
2011/7/9,26,31,阵雨~多云,东风~东南风,3-4级,,,
2011/7/10,26,32,阵雨~多云,东南风,4-5级,,,
2011/7/11,26,32,阴,东南风,4-5级,,,
2011/7/12,26,31,阵雨,东南风,4-5级,,,
2011/7/13,27,32,阵雨,东南风,4-5级,,,
2011/7/14,27,32,阵雨~多云,南风,4-5级,,,
2011/7/15,27,32,雷阵雨,北风~东南风,3-4级~4-5级,,,
2011/7/16,27,34,多云,南风~东南风,4-5级,,,
2011/7/17,27,33,阵雨~多云,东南风,4-5级,,,
2011/7/18,26,33,多云,东风~东北风,3-4级,,,
2011/7/19,26,33,多云~阵雨,北风,3-4级,,,
2011/7/20,27,34,雷阵雨~多云,西北风~东南风,3-4级,,,
2011/7/21,28,34,多云,东南风,3-4级,,,
2011/7/22,27,35,雷阵雨~多云,东南风,3-4级,,,
2011/7/23,28,36,多云,东风~东南风,3-4级,,,
2011/7/24,28,35,雷阵雨~多云,东南风,3-4级,,,
2011/7/25,28,36,多云,南风,3-4级,,,
2011/7/26,28,37,雷阵雨~多云,南风,4-5级,,,
2011/7/27,28,37,多云,南风,4-5级,,,
2011/7/28,28,36,晴,南风,4-5级,,,
2011/7/29,28,37,晴,南风,3-4级,,,
2011/7/30,28,37,多云,南风,3-4级,,,
2011/7/31,28,36,雷阵雨,南风~东南风,3-4级,,,
2011/8/1,28,33,雷阵雨,东北风~东风,3-4级,,,
2011/8/2,28,34,多云,东南风,3-4级,,,
2011/8/3,27,35,雷阵雨,东南风,4-5级,,,
2011/8/4,26,33,雷阵雨~多云,东风~东北风,3-4级,,,
2011/8/5,25,32,多云,东北风,4-5级,,,
2011/8/6,25,32,阵雨~暴雨,东北风,5-6级~8-9级,,,
2011/8/7,26,28,中雨~阵雨,北风~西南风,8-9级~7-8级,,,
2011/8/8,27,34,阵雨~多云,西南风,3-4级,,,
2011/8/9,27,34,雷阵雨~多云,南风,3-4级,,,
2011/8/10,28,36,多云,南风,3-4级,,,
2011/8/11,26,34,雷阵雨~阵雨,西南风,3-4级,,,
2011/8/12,26,32,雷阵雨~阵雨,西南风,3-4级,,,
2011/8/13,27,35,雷阵雨~多云,西南风,4-5级,,,
2011/8/14,27,32,雷阵雨~多云,西南风,4-5级,,,
2011/8/15,27,34,雷阵雨~多云,西南风,4-5级,,,
2011/8/16,28,35,雷阵雨~多云,西南风,3-4级,,,
2011/8/17,25,30,大雨~雷阵雨,西风~东北风,3-4级,,,
2011/8/18,27,33,雷阵雨~多云,北风~南风,3-4级,,,
2011/8/19,27,34,雷阵雨~多云,东南风,3-4级,,,
2011/8/20,27,36,雷阵雨~多云,东南风,3-4级,,,
2011/8/21,26,31,雷阵雨,东北风,3-4级,,,
2011/8/22,24,29,中到大雨,南风~北风,3-4级,,,
2011/8/23,24,28,阵雨,东北风,3-4级,,,
2011/8/24,22,26,阵雨,北风~东北风,3-4级,,,
2011/8/25,23,26,中雨~阵雨,东北风,3-4级,,,
2011/8/26,24,28,中到大雨,东北风,3-4级,,,
2011/8/27,25,30,雷阵雨~多云,东风,3-4级,,,
2011/8/28,26,31,阴~多云,东南风~东风,3-4级,,,
2011/8/29,25,31,多云,东南风~东风,3-4级,,,
2011/8/30,25,31,阵雨~多云,东风,4-5级,,,
2011/8/31,25,32,多云,东风~东北风,4-5级,,,
2011/9/1,24,32,晴,东北风,3-4级,,,
2011/9/2,23,32,晴~多云,北风,4-5级,,,
2011/9/3,23,31,晴,北风,3-4级,,,
2011/9/4,22,30,晴~多云,北风,3-4级,,,
2011/9/5,22,30,多云,北风,4-5级~3-4级,,,
2011/9/6,23,28,多云,东北风~东风,3-4级,,,
2011/9/7,25,29,多云~阴,东风~东南风,3-4级,,,
2011/9/8,25,33,多云,西南风~南风,3-4级,,,
2011/9/9,24,27,阵雨,东北风~东风,3-4级,,,
2011/9/10,23,25,阵雨,东北风,3-4级,,,
2011/9/11,23,29,多云,东北风,3-4级,,,
2011/9/12,24,31,多云,东风,3-4级,,,
2011/9/13,25,31,多云,东风~东南风,3-4级,,,
2011/9/14,25,33,多云,东南风,3-4级,,,
2011/9/15,25,33,多云~晴,东南风~东风,3-4级,,,
2011/9/16,24,33,多云~阴,东北风,3-4级,,,
2011/9/17,22,30,多云~阵雨,北风,4-5级,,,
2011/9/18,20,27,多云~阴,北风,4-5级,,,
2011/9/19,19,25,多云~阴,北风,4-5级,,,
2011/9/20,17,21,阵雨~阴,西北风,4-5级,,,
2011/9/21,16,23,晴,西北风,4-5级,,,
2011/9/22,16,24,多云~晴,西北风~北风,3-4级,,,
2011/9/23,18,26,晴,东北风,3-4级,,,
2011/9/24,20,27,晴~多云,东北风,3-4级,,,
2011/9/25,22,27,多云~阴,东北风~东风,3-4级,,,
2011/9/26,23,27,阵雨,东北风,3-4级,,,
2011/9/27,23,28,阴~阵雨,东北风,3-4级,,,
2011/9/28,24,28,阴,东风,3-4级,,,
2011/9/29,18,30,中雨,东南风~北风,3-4级~4-5级,,,
2011/9/30,18,22,小雨~阴,北风,4-5级,,,
2011/10/1,18,22,阴~小雨,东北风,4-5级,,,
2011/10/2,17,21,小雨~阴,东北风,4-5级,,,
2011/10/3,17,21,阴,东北风,4-5级,,,
2011/10/4,18,23,多云~阴,东北风,3-4级,,,
2011/10/5,18,23,多云,东北风,3-4级,,,
2011/10/6,17,24,多云,北风~东北风,3-4级,,,
2011/10/7,17,25,晴,东北风~东风,3-4级,,,
2011/10/8,18,26,晴,东风,3-4级,,,
2011/10/9,20,27,多云,东南风~东风,3-4级,,,
2011/10/10,21,25,小雨~阴,东北风,4-5级,,,
2011/10/11,19,25,多云,东北风,3-4级~4-5级,,,
2011/10/12,20,25,多云~小雨,东风~东南风,3-4级,,,
2011/10/13,18,23,小到中雨,东风~西北风,3-4级,,,
2011/10/14,16,22,阴~多云,西北风,4-5级~3-4级,,,
2011/10/15,15,23,多云,西北风,4-5级,,,
2011/10/16,15,24,晴,西北风~北风,3-4级,,,
2011/10/17,16,25,晴~多云,北风~东北风,3-4级,,,
2011/10/18,15,23,晴,东北风~东风,3-4级,,,
2011/10/19,18,22,多云,东北风~东风,3-4级,,,
2011/10/20,18,23,阴~小雨,东北风,3-4级,,,
2011/10/21,18,21,小雨~阴,东北风,3-4级,,,
2011/10/22,17,23,晴~多云,北风~东北风,3-4级,,,
2011/10/23,17,24,多云~阵雨,东风,3-4级~4-5级,,,
2011/10/24,15,20,中雨~小雨,北风,4-5级,,,
2011/10/25,14,19,多云,北风,4-5级~3-4级,,,
2011/10/26,16,19,多云,东北风,3-4级,,,
2011/10/27,17,21,多云,东风,3-4级,,,
2011/10/28,17,21,阴~小雨,东风,3-4级,,,
2011/10/29,16,19,小雨,北风,3-4级,,,
2011/10/30,16,21,多云,北风~东北风,3-4级,,,
2011/10/31,17,22,多云,东北风,3-4级,,,
2011/11/1,20,23,多云~阴,东风,3-4级,,,
2011/11/2,20,21,阵雨,东北风,3-4级~4-5级,,,
2011/11/3,20,24,多云~阵雨,东北风~东风,3-4级,,,
2011/11/4,20,25,阵雨,东风~东南风,3-4级,,,
2011/11/5,19,24,阵雨,东北风,3-4级,,,
2011/11/6,16,20,小雨~阴,东北风,3-4级,,,
2011/11/7,16,20,小雨,东北风,3-4级,,,
2011/11/8,15,19,小雨~阵雨,东北风,3-4级~4-5级,,,
2011/11/9,14,18,小雨,北风,3-4级,,,
2011/11/10,10,16,小雨~多云,北风,4-5级,,,
2011/11/11,10,18,多云,北风,3-4级,,,
2011/11/12,11,20,多云,无持续风向~北风,微风~3-4级,,,
2011/11/13,14,20,晴,无持续风向,微风,,,
2011/11/14,13,19,多云,北风~东北风,3-4级,,,
2011/11/15,15,20,多云,东风,3-4级,,,
2011/11/16,18,21,多云~小雨,东风~东南风,4-5级,,,
2011/11/17,20,23,阵雨,东南风,4-5级,,,
2011/11/18,18,25,阵雨~中雨,南风,3-4级,,,
2011/11/19,10,17,小雨~阴,北风,4-5级,,,
2011/11/20,9,15,多云~晴,北风~东北风,4-5级~3-4级,,,
2011/11/21,11,16,晴~多云,东北风~东风,3-4级,,,
2011/11/22,10,18,多云,南风~西北风,3-4级~4-5级,,,
2011/11/23,8,15,晴,西北风,4-5级~3-4级,,,
2011/11/24,10,14,晴,东北风~东南风,3-4级,,,
2011/11/25,13,18,多云,东南风,3-4级,,,
2011/11/26,16,20,多云,东南风,4-5级,,,
2011/11/27,15,21,晴~多云,南风~东南风,3-4级,,,
2011/11/28,16,22,多云~阴,东风,3-4级,,,
2011/11/29,15,21,阴~阵雨,东北风,3-4级,,,
2011/11/30,9,18,小雨,东北风,4-5级,,,
2011/12/1,5,11,阴,北风,5-6级~4-5级,,,
2011/12/2,4,9,多云~晴,北风,4-5级,,,
2011/12/3,5,10,晴~多云,西北风~北风,3-4级,,,
2011/12/4,9,13,晴~多云,东北风,微风,,,
2011/12/5,13,15,多云~小雨,东北风~东风,3-4级,,,
2011/12/6,13,16,小雨,东风,3-4级,,,
2011/12/7,10,14,小到中雨~小雨,东风~北风,3-4级~4-5级,,,
2011/12/8,3,10,小雨~阴,北风,5-6级,,,
2011/12/9,0,7,多云,北风,4-5级,,,
2011/12/10,-1,5,晴,北风,4-5级~3-4级,,,
2011/12/11,2,8,晴~多云,西北风~北风,3-4级,,,
2011/12/12,6,10,晴~多云,东北风,3-4级,,,
2011/12/13,6,11,多云,北风~东北风,3-4级,,,
2011/12/14,5,13,晴~多云,西北风~北风,3-4级~4-5级,,,
2011/12/15,3,8,阴~多云,北风,4-5级,,,
2011/12/16,0,6,晴,北风,4-5级,,,
2011/12/17,2,7,多云,东北风,3-4级,,,
2011/12/18,4,8,多云,东北风,3-4级,,,
2011/12/19,6,11,晴~多云,东北风,3-4级,,,
2011/12/20,6,11,小雨,东风,3-4级,,,
2011/12/21,6,11,阴,北风,4-5级,,,
2011/12/22,1,7,晴~多云,东北风~西北风,4-5级,,,
2011/12/23,0,7,晴,北风,3-4级,,,
2011/12/24,1,7,晴,西北风,4-5级,,,
2011/12/25,2,8,晴,西北风~北风,3-4级,,,
2011/12/26,4,9,晴~多云,东北风,3-4级,,,
2011/12/27,8,11,阴,东风,3-4级,,,
2011/12/28,8,12,阴~多云,东风~东北风,3-4级,,,
2011/12/29,6,12,多云,东北风,4-5级~3-4级,,,
2011/12/30,5,10,多云,东北风,3-4级,,,
2011/12/31,4,9,多云,东风~东北风,3-4级,,,
2012/1/1,4,9,多云,北风~东北风,4-5级~3-4级,,,
2012/1/2,3,8,多云~阴,西北风,微风~3-4级,,,
2012/1/3,0,6,阴~多云,西北风,4-5级,,,
2012/1/4,-1,4,晴,西北风,4-5级~3-4级,,,
2012/1/5,1,5,多云~阴,北风,3-4级,,,
2012/1/6,4,7,阴~多云,东北风,3-4级,,,
2012/1/7,5,8,多云~阴,东北风,3-4级,,,
2012/1/8,5,8,小雨,东北风,3-4级,,,
2012/1/9,5,9,阴,东北风,3-4级,,,
2012/1/10,5,9,阴,东北风,3-4级,,,
2012/1/11,2,8,阴,北风,4-5级,,,
2012/1/12,4,8,多云,东风,3-4级,,,
2012/1/13,5,9,阴~小雨,东风,3-4级,,,
2012/1/14,4,6,中雨,东北风,3-4级,,,
2012/1/16,4,9,阴~多云,东北风~东风,3-4级,,,
2012/1/17,5,10,多云~阴,东北风~东风,3-4级,,,
2012/1/18,7,10,小雨,东风,3-4级,,,
2012/1/19,6,9,小雨~阴,东北风,4-5级,,,
2012/1/20,5,9,阴~小雨,北风,4-5级,,,
2012/1/21,1,6,小雨~雨夹雪,北风,4-5级,,,
2012/1/22,-1,4,小雪~阴,北风,4-5级,,,
2012/1/23,-2,4,多云,北风,4-5级~3-4级,,,
2012/1/24,-2,4,多云,北风,3-4级,,,
2012/1/25,-1,4,晴,西北风~北风,3-4级,,,
2012/1/26,-1,7,晴~多云,东南风~南风,3-4级,,,
2012/1/27,5,9,小雨,东北风,3-4级,,,
2012/1/28,4,8,小雨~阴,东北风,4-5级,,,
2012/1/29,3,9,多云~小雨,东北风,4-5级,,,
2012/1/30,2,8,多云,东北风,3-4级,,,
2012/1/31,2,10,多云~晴,南风~北风,3-4级~4-5级,,,
2012/2/1,0,8,阴~多云,北风,4-5级~3-4级,,,
2012/2/2,-1,3,多云,北风,4-5级~3-4级,,,
2012/2/3,-1,5,晴~多云,北风~南风,3-4级,,,
2012/2/4,2,8,多云~小雨,东南风,3-4级,,,
2012/2/5,7,10,阴~小到中雨,西风~东风,3-4级,,,
2012/2/6,1,9,中雨~雨夹雪,北风,4-5级~5-6级,,,
2012/2/7,-2,3,多云,北风,5-6级~4-5级,,,
2012/2/8,-1,3,多云,北风,4-5级~3-4级,,,
2012/2/9,0,5,多云~阴,北风~东北风,3-4级,,,
2012/2/10,2,4,小雨~阴,东北风,3-4级,,,
2012/2/11,3,7,阴~小雨,东北风~东风,3-4级,,,
2012/2/12,6,8,小雨~小到中雨,东风~东南风,4-5级~3-4级,,,
2012/2/13,7,10,小雨,西北风~北风,3-4级,,,
2012/2/14,4,8,小雨~中雨,东北风,3-4级,,,
2012/2/15,3,7,小雨,东北风,4-5级,,,
2012/2/16,1,7,阴,北风,3-4级~4-5级,,,
2012/2/17,4,8,小雨~中雨,东北风,3-4级,,,
2012/2/18,0,6,晴,北风,3-4级,,,
2012/2/19,2,8,晴,东北风~东风,微风,,,
2012/2/20,4,8,小雨~中雨,东北风,3-4级,,,
2012/2/21,8,11,小雨,东南风~东风,3-4级,,,
2012/2/22,8,12,中雨~小到中雨,东南风~东北风,3-4级~4-5级,,,
2012/2/23,5,10,阴~小雨,北风,4-5级,,,
2012/2/24,4,7,小雨~阴,北风,3-4级,,,
2012/2/25,2,6,雨夹雪~阴,东北风,4-5级,,,
2012/2/26,2,5,小雪~阴,北风,4-5级,,,
2012/2/27,4,7,多云~小雨,北风~东北风,3-4级,,,
2012/2/28,3,7,小雨~阴,东北风~东南风,3-4级~4-5级,,,
2012/2/29,7,10,小雨,东风~东南风,3-4级,,,
2012/3/1,6,10,小雨~小到中雨,东南风~东北风,3-4级~4-5级,,,
2012/3/2,5,9,小雨,北风~东北风,4-5级,,,
2012/3/3,6,8,小到中雨~中雨,东北风~东风,3-4级,,,
2012/3/4,7,9,中雨~中到大雨,东风~北风,3-4级,,,
2012/3/5,5,8,小雨~阴,西北风,3-4级,,,
2012/3/6,6,11,多云~小雨,西北风~东北风,3-4级,,,
2012/3/7,5,7,小雨,东北风,3-4级~4-5级,,,
2012/3/8,4,8,小雨~阴,东北风,4-5级,,,
2012/3/9,3,9,阴~多云,北风,4-5级,,,
2012/3/10,3,11,晴~多云,北风,3-4级,,,
2012/3/11,2,11,多云~晴,北风,4-5级~3-4级,,,
2012/3/12,3,9,晴~多云,东北风~东南风,3-4级,,,
2012/3/13,5,11,晴,东南风,3-4级,,,
2012/3/14,8,14,晴~多云,东南风,3-4级,,,
2012/3/15,10,13,中雨,东风~东南风,4-5级,,,
2012/3/16,11,17,阴~小雨,西北风,4-5级~3-4级,,,
2012/3/17,10,15,小雨,东风,3-4级,,,
2012/3/18,6,13,小雨,东北风,4-5级,,,
2012/3/19,5,9,小雨,东北风,3-4级,,,
2012/3/20,5,9,小雨~多云,东北风~东风,3-4级,,,
2012/3/21,8,14,晴~多云,东风~东南风,3-4级~4-5级,,,
2012/3/22,8,18,小到中雨~中雨,东南风~北风,3-4级~4-5级,,,
2012/3/23,6,10,小雨~多云,西北风,4-5级,,,
2012/3/24,6,15,晴,西北风,3-4级,,,
2012/3/25,7,18,晴~多云,西风~东北风,3-4级,,,
2012/3/26,9,18,晴~多云,东南风~南风,3-4级,,,
2012/3/27,11,23,晴~多云,西南风~南风,4-5级~3-4级,,,
2012/3/28,13,23,晴~多云,东风~东南风,3-4级,,,
2012/3/29,15,23,多云~阵雨,南风,4-5级,,,
2012/3/30,8,18,中雨~小雨,北风,4-5级,,,
2012/3/31,8,18,晴,西北风,3-4级,,,
2012/4/1,12,20,晴,南风,4-5级,,,
2012/4/2,9,25,多云~雷阵雨,东南风~西北风,5-6级,,,
2012/4/3,8,16,多云~晴,西北风,5-6级~3-4级,,,
2012/4/4,12,21,晴~多云,南风~西风,3-4级,,,
2012/4/5,11,24,晴~多云,西北风~东北风,3-4级~4-5级,,,
2012/4/6,12,22,晴~多云,南风,3-4级,,,
2012/4/7,13,22,晴~多云,南风,3-4级,,,
2012/4/8,15,23,多云~阴,东南风~南风,4-5级,,,
2012/4/9,17,22,阵雨,南风,4-5级,,,
2012/4/10,16,25,阵雨~小到中雨,南风~西南风,3-4级,,,
2012/4/11,,11,多云~,东北风~,3-4级~,,,
2012/4/12,12,19,小雨~小到中雨,东南风~东风,3-4级,,,
2012/4/13,11,17,小雨~多云,东北风~东南风,3-4级,,,
