City,AQI,PM2.5/1h,PM10/h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
昭通,64,9,60,0.25,16,92,115,9
招远,97,50,104,1.15,12,122,155,14
郑州,107,53,131,1.15,64,149,166,12
镇江,45,31,41,0.73,33,45,59,2
中山,79,23,46,0.93,22,88,133,8
中卫,69,19,85,0.5,26,110,112,10
周口,72,26,59,1.3,45,86,125,12
舟山,47,17,23,1.27,28,36,92,6
珠海,28,15,23,0.67,21,37,55,4
诸暨,0,0,0,0.0,0,0,0,0
驻马店,82,28,38,0.97,25,118,137,14
株洲,58,40,54,0.76,31,78,87,100
淄博,97,47,88,1.32,31,143,155,15
自贡,78,29,60,0.48,40,119,132,10
资阳,65,12,60,0.38,15,123,116,9
遵义,47,10,18,0.63,16,73,92,4
